Día 1 — S1 Empuje,Día 2 — Piernas,Día 3 — S3 Tirón,Día 4 — Piernas,Día 5 — S5 Cadena Posterior
"Warmup: Retracción escapular 2x10, Rotación externa 2x12/lado, Deadbug 2x8/lado (10kg), Elevaciones laterales 2x15, Retracción+depresión escapular 2x10, Isométrico acostado/pared 3x12 — Rest 30-60s c/u","Bulgarian pogos — 3x15 — 20kg — Rest 30s","Pullups — Frente1: 5 series al fallo controlado, Rest 180s | Frente2: 4x8-10 asistido RPE8, Rest 90s","Bulgarian pogos — 3x15 — 20kg — Rest 30s","Peso Muerto — Aprox 60kgx5 a 130kgx2 (calentamiento) → Top Set 3x5-6 140kg, foco técnica — Rest 240s"
"Press Banca — Aprox 52kgx8 a 79kgx4 (calentamiento) → Trabajo: 88kgx10, 88kgx10, 94kgx8 (RPE7 máx) — Rest 90-180s","Lateral hop + salto lateral 1:1 — 2x8/pierna — Rest 30s","Remo con barra (Pendlay) — 5x5 — Rest 120s — espalda plana","Lateral hop + salto lateral 1:1 — 2x8/pierna — Rest 30s","Leg curl acostado — 4x8-12 — Rest 90s — bajada 3seg"
"Press militar barra — 4x8-12 — Rest 120s — agarre ancho, codos adelante","Squat frontal (back bar) — 3x8 — @8 — Rest 60s","Remo mancuerna unilateral — 4x8-12/lado — Rest 90s","Squat frontal (back bar) — 3x8 — @8 — Rest 60s","Gemelos en Smith — 4x15-20 — Rest 75s"
"Press inclinado mancuerna — 4x8-12 — Rest 90s — rango completo","Hip thrust bilateral — 3x10 — RPE9 — Rest 60s","Chin up supinado — 4x8-12 — Rest 90s — agarre supino","Hip thrust bilateral — 3x10 — RPE9 — Rest 60s","Push ups con protracción — 3xmáx"
"Fondos en paralelas — 3x8-12 — Rest 90s","High step con barra — 2x15 — 60kg — Rest 120s","Curl bíceps mancuerna 45° — 3x10-12","High step con barra — 2x15 — 60kg — Rest 120s","Remo en polea sentado — 3x8-12 — Rest 90s"
"Face pull polea — 3x15 — Rest 60s — OBLIGATORIO (salud escapular)","Single leg RDL — 2x12/pierna — 45kg — Rest 30s","Curl martillo — 3x10-12","Single leg RDL — 2x12/pierna — 45kg — Rest 30s","Back extension — 3x12-15"
"Tríceps francés polea — 3x12-15","Pistol SQ asistido con banda — 2x8/pierna — Rest 60s","Curl concentrado mancuerna — 3x10/lado","Pistol SQ asistido con banda — 2x8/pierna — Rest 60s","Pallof press en polea — 3x12/lado"
"Tríceps pushdown — 3x12-15","Búlgaras unilaterales — 12-15/pierna — 12→28→30kg — Rest 60s","Gemelos en Smith — 3x15-20","Búlgaras unilaterales — 12-15/pierna — 12→28→30kg — Rest 60s","Plancha abdominal — 3x45\""
"Elevaciones laterales — 3x12-15","Pata de glúteo en polea — 3x12-15 — RPE10","Curl inverso con barra — 2x12-15","Pata de glúteo en polea — 3x12-15 — RPE10","Elevación de rodillas — 3x10"
"Abdominal oblicuo polea — 3x12-15/lado","","Press landmine unilateral (hombro terap.) — 2x12/lado — 25kg","","Curl inverso con barra — 3x12-15"
"Plancha abdominal — 3x45\"","","Chaos push up (hombro terap.) — 2xmáx","","Farmer carry — 3x30m — Rest 90s"
"","","Press serrato unilateral (hombro terap.) — 2x20 — @8","",""
"","","Press banca inclinado c/barra (hombro terap.) — 3x8-10 — @7","",""
"","","Nadador con bandas — 2x12/brazo — hombro terap.","",""
"","","Deadbug con disco 25kg — 2x10/lado — hombro terap.","",""
